scientificName;decimalLongitude;decimalLatitude;wc2.1_30s_bio_1;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19
Dichotomius agenor;-72,910,531;11,143,175;274,541,664,123,535;101,749,992,370,605;788,759,689,331,055;811,412,506,103,516;337,999,992,370,605;208,999,996,185,303;128,999,996,185,303;271,833,324,432,373;268,166,656,494,141;28,5;264,833,335,876,465;1072;161;8;65,662,109,375;436;38;266;63
Dichotomius agenor;-72,917,575;111,490,499,999,999;274,416,656,494,141;101,999,998,092,651;784,615,325,927,734;816,264,724,731,445;337,999,992,370,605;207,999,992,370,605;13;271,833,324,432,373;26,783,332,824,707;284,833,335,876,465;264,499,988,555,908;1077;218;12;730,349,273,681,641;431;39;245;84
Dichotomius agenor;-75,659,164;519,277,799,999,995;23,466,667,175,293;109,333,333,969,116;896,174,926,757,812;365,148,277,282,715;297,999,992,370,605;176,000,003,814,697;121,999,988,555,908;230,499,992,370,605;235,666,656,494,141;238,833,332,061,768;229,833,335,876,465;2143;309;106;348,230,934,143,066;710;329;492;621
Dichotomius agenor;-7,122,222;855,388,899,999,985;21,470,832,824,707;827,499,961,853,027;811,274,566,650,391;475,039,749,145,508;262,999,992,370,605;161,000,003,814,697;101,999,988,555,908;216,333,332,061,768;20,783,332,824,707;218,500,003,814,697;20,783,332,824,707;1289;240;27;63,453,441,619,873;588;106;561;106
Dichotomius agenor;-7,394,556;997,833,299,999,992;284,125,003,814,697;117,250,003,814,697;797,619,171,142,578;655,440,368,652,344;362,999,992,370,605;216,000,003,814,697;146,999,988,555,908;278,500,003,814,697;289,833,335,876,465;292,333,335,876,465;276,000,003,814,697;1385;200;16;591,009,483,337,402;534;78;179;360
Dichotomius agenor;-75,171,061;107,474,609,999,999;275,166,664,123,535;835,000,038,146,973;869,791,641,235,352;400,189,170,837,402;322,000,007,629,395;226,000,003,814,697;960,000,038,146,973;274,500,007,629,395;271,333,332,061,768;279,333,343,505,859;269,833,335,876,465;1127;264;5;811,896,362,304,688;549;28;295;61
Dichotomius agenor;-75,145,936;1,074,705;272,374,992,370,605;854,166,603,088,379;862,794,570,922,852;39,087,589,263,916;32;221,000,003,814,697;989,999,961,853,027;271,666,660,308,838;268,666,667,938,232;276,333,332,061,768;26,716,667,175,293;1086;202;3;687,814,559,936,523;488;36;289;55
Dichotomius agenor;-7,514,995;107,375,250,000,001;274,333,324,432,373;860,000,038,146,973;868,686,752,319,336;385,140,533,447,266;322,000,007,629,395;222,999,992,370,605;990,000,152,587,891;273,500,003,814,697;270,833,320,617,676;278,333,339,691,162;269,333,324,432,373;1115;270;5;843,972,015,380,859;553;20;303;41
Dichotomius agenor;-75,061,311;106,928,970,000,001;276,458,339,691,162;939,166,641,235,352;853,787,841,796,875;374,444,198,608,398;33;22;11;276,499,996,185,303;273,999,996,185,303;280,499,992,370,605;271,833,324,432,373;1131;204;10;707,200,012,207,031;511;36;325;166
Dichotomius agenor;-75,155,103;10,765,344;267,541,675,567,627;850,833,320,617,676;85,942,756,652,832;407,016,944,885,254;31,5;216,000,003,814,697;989,999,961,853,027;266,833,343,505,859;263,666,667,938,232;271,666,660,308,838;26,216,667,175,293;1035;190;3;684,216,766,357,422;462;30;290;55
Dichotomius agenor;-75,170,533;10,765,336;274,416,656,494,141;819,999,980,926,514;872,340,469,360,352;402,172,050,476,074;32;226,000,003,814,697;939,999,961,853,027;273,999,996,185,303;27,033,332,824,707;278,500,003,814,697;268,999,996,185,303;1041;168;3;667,688,598,632,812;448;34;303;62
Dichotomius agenor;-73,303,611;956,416,699,999,982;276,416,664,123,535;11;802,919,692,993,164;569,622,497,558,594;347,000,007,629,395;21;137,000,007,629,395;269,166,660,308,838;275,833,339,691,162;28,25;268,999,996,185,303;1495;260;22;594,028,625,488,281;639;96;236;502
Dichotomius agenor;-73,262,806;960,286,100,000,003;277,916,660,308,838;110,666,675,567,627;801,932,373,046,875;590,005,226,135,254;349,000,015,258,789;211,000,003,814,697;138,000,011,444,092;27,033,332,824,707;277,333,335,876,465;284,000,015,258,789;270,166,664,123,535;1542;233;15;590,587,882,995,605;595;78;256;428
Dichotomius agenor;-73,282,889;959,513,900,000,011;27,875;110,666,666,030,884;801,932,373,046,875;579,380,645,751,953;35;212,000,007,629,395;137,999,992,370,605;271,333,332,061,768;278,333,339,691,162;284,833,335,876,465;271,166,667,938,232;1553;233;15;601,011,238,098,145;597;78;262;429
Dichotomius agenor;-7,516,167;102,744,449,999,999;28,091,667,175,293;106,833,333,969,116;791,357,879,638,672;43,002,815,246,582;349,000,015,258,789;213,999,996,185,303;135,000,019,073,486;278,833,332,061,768;281,166,667,938,232;286,000,003,814,697;275,499,992,370,605;1355;229;23;641,987,533,569,336;602;73;260;386
Dichotomius agenor;-79,55;894,999,999,999,998;270,375,003,814,697;680,833,387,374,878;773,674,163,818,359;641,420,669,555,664;316,000,003,814,697;227,999,992,370,605;880,000,114,440,918;264,166,660,308,838;273,166,656,494,141;279,333,343,505,859;263,833,332,061,768;2063;341;19;695,907,287,597,656;844;60;243;818
Dichotomius agenor;-7,135,833;12,193,611;27,720,832,824,707;789,166,688,919,067;717,424,240,112,305;117,617,599,487,305;332,999,992,370,605;222,999,992,370,605;11;272,666,664,123,535;268,166,675,567,627;290,166,664,123,535;262,333,335,876,465;607;110;7;698,264,846,801,758;292;54;122;196
