"scientificName";"decimalLongitude";"decimalLatitude";"wc2.1_30s_bio_1";"wc2.1_30s_bio_2";"wc2.1_30s_bio_3";"wc2.1_30s_bio_4";"wc2.1_30s_bio_5";"wc2.1_30s_bio_6";"wc2.1_30s_bio_7";"wc2.1_30s_bio_8";"wc2.1_30s_bio_9";"wc2.1_30s_bio_10";"wc2.1_30s_bio_11";"wc2.1_30s_bio_12";"wc2.1_30s_bio_13";"wc2.1_30s_bio_14";"wc2.1_30s_bio_15";"wc2.1_30s_bio_16";"wc2.1_30s_bio_17";"wc2.1_30s_bio_18";"wc2.1_30s_bio_19";"swc_fr";"stress"
"Dichotomius agenor";-75,659164;5,19277799999995;23,466667175293;10,9333333969116;89,6174926757812;36,5148277282715;29,7999992370605;17,6000003814697;12,1999988555908;23,0499992370605;23,5666656494141;23,8833332061768;22,9833335876465;2143;309;106;34,8230934143066;710;329;492;621;93,9995956420898;-92,9995956420898
"Dichotomius agenor";-71,22222;8,55388899999985;21,470832824707;8,27499961853027;81,1274566650391;47,5039749145508;26,2999992370605;16,1000003814697;10,1999988555908;21,6333332061768;20,783332824707;21,8500003814697;20,783332824707;1289;240;27;63,453441619873;588;106;561;106;53,9991416931152;-50,999568939209
"Dichotomius agenor";-73,94556;9,97833299999992;28,4125003814697;11,7250003814697;79,7619171142578;65,5440368652344;36,2999992370605;21,6000003814697;14,6999988555908;27,8500003814697;28,9833335876465;29,2333335876465;27,6000003814697;1385;200;16;59,1009483337402;534;78;179;360;56,0011024475098;-60,0006637573242
"Dichotomius agenor";-75,171061;10,7474609999999;27,5166664123535;8,35000038146973;86,9791641235352;40,0189170837402;32,2000007629395;22,6000003814697;9,60000038146973;27,4500007629395;27,1333332061768;27,9333343505859;26,9833335876465;1127;264;5;81,1896362304688;549;28;295;61;64,9993438720703;-53,9993438720703
"Dichotomius agenor";-75,145936;10,74705;27,2374992370605;8,54166603088379;86,2794570922852;39,087589263916;32;22,1000003814697;9,89999961853027;27,1666660308838;26,8666667938232;27,6333332061768;26,716667175293;1086;202;3;68,7814559936523;488;36;289;55;65;-57,9989013671875
"Dichotomius agenor";-75,14995;10,7375250000001;27,4333324432373;8,60000038146973;86,8686752319336;38,5140533447266;32,2000007629395;22,2999992370605;9,90000152587891;27,3500003814697;27,0833320617676;27,8333339691162;26,9333324432373;1115;270;5;84,3972015380859;553;20;303;41;65;-56,9989013671875
"Dichotomius agenor";-75,061311;10,6928970000001;27,6458339691162;9,39166641235352;85,3787841796875;37,4444198608398;33;22;11;27,6499996185303;27,3999996185303;28,0499992370605;27,1833324432373;1131;204;10;70,7200012207031;511;36;325;166;65;-58
"Dichotomius agenor";-75,155103;10,765344;26,7541675567627;8,50833320617676;85,942756652832;40,7016944885254;31,5;21,6000003814697;9,89999961853027;26,6833343505859;26,3666667938232;27,1666660308838;26,216667175293;1035;190;3;68,4216766357422;462;30;290;55;66;-57,9993438720703
"Dichotomius agenor";-75,170533;10,765336;27,4416656494141;8,19999980926514;87,2340469360352;40,2172050476074;32;22,6000003814697;9,39999961853027;27,3999996185303;27,033332824707;27,8500003814697;26,8999996185303;1041;168;3;66,7688598632812;448;34;303;62;64,9993438720703;-53,9986877441406
"Dichotomius agenor";-73,303611;9,56416699999982;27,6416664123535;11;80,2919692993164;56,9622497558594;34,7000007629395;21;13,7000007629395;26,9166660308838;27,5833339691162;28,25;26,8999996185303;1495;260;22;59,4028625488281;639;96;236;502;69,0004348754883;-74,9993362426758
"Dichotomius agenor";-73,262806;9,60286100000003;27,7916660308838;11,0666675567627;80,1932373046875;59,0005226135254;34,9000015258789;21,1000003814697;13,8000011444092;27,033332824707;27,7333335876465;28,4000015258789;27,0166664123535;1542;233;15;59,0587882995605;595;78;256;428;68,001106262207;-75
"Dichotomius agenor";-73,282889;9,59513900000011;27,875;11,0666666030884;80,1932373046875;57,9380645751953;35;21,2000007629395;13,7999992370605;27,1333332061768;27,8333339691162;28,4833335876465;27,1166667938232;1553;233;15;60,1011238098145;597;78;262;429;69;-74,9993286132812
